iterationName	gameid	time	leftTarget	rightTarget	trialNum	turnNum	repNum	block	blockNum	eventType
height":2,"color":[179,47,10,155]}	0	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588694970055	L	C	0	1	0	{"x":4,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	2	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695059282	L	C	0	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	4	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695061332	L	C	0	1	0	{"x":4,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695097199	L	C	0	3	0	{"x":3,"y":2,"width":1,"height":2,"color":[179,47,10,155]}	8	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695222900	C	Pi	1	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695224073	C	Pi	1	1	0	{"x":2,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	2	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695225091	C	Pi	1	1	0	{"x":4,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	4	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695226162	C	Pi	1	1	0	{"x":1,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	6	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695227157	C	Pi	1	1	0	{"x":6,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	8	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695228882	C	Pi	1	0	0	{"x":5,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	10	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695232205	L	Pi	2	0	0	{"x":0,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	12	block
testing	6481-ed737561-1d85-43e2-86ae-b3da48da907c	1588695233888	L	Pi	2	0	0	{"x":0,"y":2,"width":1,"height":2,"color":[179,47,10,155]}	14	block
